freq,psd_x,psd_y,psd_z,psd_xyz
150.6,4.714e+02,2.715e+02,2.811e+02,1.024e+03
152.1,5.095e+02,2.557e+02,3.244e+02,1.090e+03
153.7,5.448e+02,2.461e+02,3.471e+02,1.138e+03
155.2,5.794e+02,2.217e+02,3.406e+02,1.142e+03
156.7,5.848e+02,2.078e+02,3.310e+02,1.124e+03
158.2,5.375e+02,1.975e+02,2.837e+02,1.019e+03
159.7,4.857e+02,1.828e+02,2.489e+02,9.175e+02
161.3,4.669e+02,1.607e+02,2.338e+02,8.614e+02
162.8,4.974e+02,1.385e+02,2.372e+02,8.731e+02
164.3,5.090e+02,1.317e+02,2.374e+02,8.781e+02
165.8,5.311e+02,1.441e+02,2.315e+02,9.067e+02
167.4,5.179e+02,2.033e+02,2.350e+02,9.562e+02
168.9,4.868e+02,3.038e+02,2.407e+02,1.031e+03
170.4,5.187e+02,4.131e+02,2.057e+02,1.138e+03
171.9,6.992e+02,5.223e+02,1.950e+02,1.416e+03
173.4,8.239e+02,5.927e+02,1.822e+02,1.599e+03
175.0,8.065e+02,5.644e+02,1.422e+02,1.513e+03
176.5,7.536e+02,5.652e+02,1.283e+02,1.447e+03
178.0,6.965e+02,5.902e+02,1.447e+02,1.431e+03
179.5,6.468e+02,6.770e+02,1.956e+02,1.519e+03
181.0,6.180e+02,7.150e+02,2.900e+02,1.623e+03
182.6,5.759e+02,6.617e+02,3.015e+02,1.539e+03
184.1,5.403e+02,6.254e+02,3.088e+02,1.475e+03
185.6,5.164e+02,6.352e+02,3.143e+02,1.466e+03
187.1,4.871e+02,6.279e+02,3.393e+02,1.454e+03
188.7,4.751e+02,6.140e+02,3.584e+02,1.447e+03
190.2,4.661e+02,5.976e+02,3.798e+02,1.443e+03
191.7,4.556e+02,5.706e+02,4.540e+02,1.480e+03
193.2,4.675e+02,5.772e+02,5.549e+02,1.600e+03
194.7,5.146e+02,5.714e+02,7.861e+02,1.872e+03
196.3,5.307e+02,5.218e+02,1.087e+03,2.139e+03
197.8,5.104e+02,5.129e+02,1.099e+03,2.122e+03
199.3,5.006e+02,5.243e+02,1.080e+03,2.104e+03
